No,;Time;Source;Destination;;time 1;time 2;delay;delay 1;delay 2;jitter
1;0;192,168,80,187;74,125,68,136;;0;0,124843;0,124843;0,023754;0,101089;0,077335
2;0,124843;192,168,80,187;202,67,42,205;;0,124843;0,225932;0,101089;0,040138;0,060951;0,020813
3;0,225932;192,168,80,187;74,125,68,136;;0,225932;0,286883;0,060951;0,06092;3,1E-05;-0,060889
4;0,286883;202,67,42,205;192,168,80,187;;0,286883;0,286914;3,1E-05;-0,00057;0,000601;0,001171
5;0,286914;202,67,42,205;192,168,80,187;;0,286914;0,287515;0,000601;-0,016028;0,016629;0,032657
6;0,287515;192,168,80,187;202,67,42,205;;0,287515;0,304144;0,016629;0,016604;2,5E-05;-0,016579
7;0,304144;74,125,68,136;192,168,80,187;;0,304144;0,304169;2,5E-05;-0,005583;0,005608;0,011191
8;0,304169;74,125,68,136;192,168,80,187;;0,304169;0,309777;0,005608;0,005583;2,5E-05;-0,005558
9;0,309777;74,125,68,136;192,168,80,187;;0,309777;0,309802;2,5E-05;-0,00047;0,000495;0,000965
10;0,309802;74,125,68,136;192,168,80,187;;0,309802;0,310297;0,000495;-0,002953;0,003448;0,006401
11;0,310297;192,168,80,187;74,125,68,136;;0,310297;0,313745;0,003448;-0,002606;0,006054;0,00866
12;0,313745;202,67,42,205;192,168,80,187;;0,313745;0,319799;0,006054;-0,153764;0,159818;0,313582
13;0,319799;192,168,80,187;74,125,68,136;;0,319799;0,479617;0,159818;0,159818;0;-0,159818
14;0,479617;202,67,42,205;192,168,80,187;;0,479617;0,479617;0;0;0;0
15;0,479617;202,67,42,205;192,168,80,187;;0,479617;0,479617;0;0;0;0
16;0,479617;202,67,42,205;192,168,80,187;;0,479617;0,479617;0;-0,000548;0,000548;0,001096
17;0,479617;202,67,42,205;192,168,80,187;;0,479617;0,480165;0,000548;0,000309;0,000239;-7E-05
18;0,480165;192,168,80,187;202,67,42,205;;0,480165;0,480404;0,000239;6,5E-05;0,000174;0,000109
19;0,480404;192,168,80,187;202,67,42,205;;0,480404;0,480578;0,000174;0,000174;0;-0,000174
20;0,480578;202,67,42,205;192,168,80,187;;0,480578;0,480578;0;-3,2E-05;3,2E-05;6,4E-05
21;0,480578;202,67,42,205;192,168,80,187;;0,480578;0,48061;3,2E-05;5E-06;2,7E-05;2,2E-05
22;0,48061;202,67,42,205;192,168,80,187;;0,48061;0,480637;2,7E-05;-1,7E-05;4,4E-05;6,1E-05
23;0,480637;202,67,42,205;192,168,80,187;;0,480637;0,480681;4,4E-05;4,4E-05;0;-4,4E-05
24;0,480681;202,67,42,205;192,168,80,187;;0,480681;0,480681;0;0;0;0
25;0,480681;202,67,42,205;192,168,80,187;;0,480681;0,480681;0;-0,000158;0,000158;0,000316
26;0,480681;202,67,42,205;192,168,80,187;;0,480681;0,480839;0,000158;-0,000545;0,000703;0,001248
27;0,480839;192,168,80,187;202,67,42,205;;0,480839;0,481542;0,000703;0,000417;0,000286;-0,000131
28;0,481542;192,168,80,187;202,67,42,205;;0,481542;0,481828;0,000286;0,000286;0;-0,000286
29;0,481828;202,67,42,205;192,168,80,187;;0,481828;0,481828;0;0;0;0
30;0,481828;202,67,42,205;192,168,80,187;;0,481828;0,481828;0;0;0;0
31;0,481828;202,67,42,205;192,168,80,187;;0,481828;0,481828;0;0;0;0
32;0,481828;202,67,42,205;192,168,80,187;;0,481828;0,481828;0;0;0;0
33;0,481828;202,67,42,205;192,168,80,187;;0,481828;0,481828;0;0;0;0
34;0,481828;202,67,42,205;192,168,80,187;;0,481828;0,481828;0;0;0;0
35;0,481828;202,67,42,205;192,168,80,187;;0,481828;0,481828;0;0;0;0
36;0,481828;202,67,42,205;192,168,80,187;;0,481828;0,481828;0;0;0;0
37;0,481828;202,67,42,205;192,168,80,187;;0,481828;0,481828;0;0;0;0
38;0,481828;202,67,42,205;192,168,80,187;;0,481828;0,481828;0;0;0;0
39;0,481828;202,67,42,205;192,168,80,187;;0,481828;0,481828;0;0;0;0
40;0,481828;202,67,42,205;192,168,80,187;;0,481828;0,481828;0;0;0;0
41;0,481828;202,67,42,205;192,168,80,187;;0,481828;0,481828;0;0;0;0
42;0,481828;202,67,42,205;192,168,80,187;;0,481828;0,481828;0;0;0;0
43;0,481828;202,67,42,205;192,168,80,187;;0,481828;0,481828;0;0;0;0
44;0,481828;202,67,42,205;192,168,80,187;;0,481828;0,481828;0;-0,000185;0,000185;0,00037
45;0,481828;202,67,42,205;192,168,80,187;;0,481828;0,482013;0,000185;0,000185;0;-0,000185
46;0,482013;202,67,42,205;192,168,80,187;;0,482013;0,482013;0;0;0;0
47;0,482013;202,67,42,205;192,168,80,187;;0,482013;0,482013;0;0;0;0
48;0,482013;202,67,42,205;192,168,80,187;;0,482013;0,482013;0;0;0;0
49;0,482013;202,67,42,205;192,168,80,187;;0,482013;0,482013;0;0;0;0
50;0,482013;202,67,42,205;192,168,80,187;;0,482013;0,482013;0;0;0;0
51;0,482013;202,67,42,205;192,168,80,187;;0,482013;0,482013;0;0;0;0
52;0,482013;202,67,42,205;192,168,80,187;;0,482013;0,482013;0;0;0;0
53;0,482013;202,67,42,205;192,168,80,187;;0,482013;0,482013;0;0;0;0
54;0,482013;202,67,42,205;192,168,80,187;;0,482013;0,482013;0;-6,9E-05;6,9E-05;0,000138
55;0,482013;202,67,42,205;192,168,80,187;;0,482013;0,482082;6,9E-05;6,9E-05;0;-6,9E-05
56;0,482082;202,67,42,205;192,168,80,187;;0,482082;0,482082;0;-2,9E-05;2,9E-05;5,8E-05
57;0,482082;202,67,42,205;192,168,80,187;;0,482082;0,482111;2,9E-05;-0,000192;0,000221;0,000413
58;0,482111;202,67,42,205;192,168,80,187;;0,482111;0,482332;0,000221;3,4E-05;0,000187;0,000153
59;0,482332;192,168,80,187;202,67,42,205;;0,482332;0,482519;0,000187;4,9E-05;0,000138;8,9E-05
60;0,482519;192,168,80,187;202,67,42,205;;0,482519;0,482657;0,000138;1,5E-05;0,000123;0,000108
61;0,482657;192,168,80,187;202,67,42,205;;0,482657;0,48278;0,000123;7,9E-05;4,4E-05;-3,5E-05
62;0,48278;192,168,80,187;202,67,42,205;;0,48278;0,482824;4,4E-05;2,2E-05;2,2E-05;5,55112E-17
63;0,482824;202,67,42,205;192,168,80,187;;0,482824;0,482846;2,2E-05;-1E-06;2,3E-05;2,4E-05
64;0,482846;202,67,42,205;192,168,80,187;;0,482846;0,482869;2,3E-05;1E-06;2,2E-05;2,1E-05
65;0,482869;202,67,42,205;192,168,80,187;;0,482869;0,482891;2,2E-05;1,7E-05;5E-06;-1,2E-05
66;0,482891;202,67,42,205;192,168,80,187;;0,482891;0,482896;5E-06;-0,000234;0,000239;0,000473
67;0,482896;192,168,80,187;202,67,42,205;;0,482896;0,483135;0,000239;6,9E-05;0,00017;0,000101
68;0,483135;192,168,80,187;202,67,42,205;;0,483135;0,483305;0,00017;2,9E-05;0,000141;0,000112
69;0,483305;192,168,80,187;202,67,42,205;;0,483305;0,483446;0,000141;-2E-06;0,000143;0,000145
70;0,483446;192,168,80,187;202,67,42,205;;0,483446;0,483589;0,000143;-8,9E-05;0,000232;0,000321
71;0,483589;192,168,80,187;202,67,42,205;;0,483589;0,483821;0,000232;0,000144;8,8E-05;-5,6E-05
72;0,483821;192,168,80,187;202,67,42,205;;0,483821;0,483909;8,8E-05;5,8E-05;3E-05;-2,8E-05
73;0,483909;192,168,80,187;202,67,42,205;;0,483909;0,483939;3E-05;1,5E-05;1,5E-05;-5,55112E-17
